Date,Geography,DelinquencyRate
2016-01-01,Halifax,0.51
2016-01-01,Moncton,0.87
2016-01-01,Saint John,0.88
2016-01-01,Saguenay,0.47
2016-01-01,Québec City,0.25
2016-01-01,Sherbrooke,0.43
2016-01-01,Trois-Riviéres,0.59
2016-01-01,Montréal,0.40
2016-01-01,Ottawa-Gatineau,0.32
2016-01-01,Kingston,0.32
2016-01-01,Peterborough,0.21
2016-01-01,Oshawa,0.17
2016-01-01,Toronto,0.15
2016-01-01,Hamilton,0.18
2016-01-01,St. Catharines-Niagara,0.35
2016-01-01,Kitchener-Cambridge-Waterloo,0.20
2016-01-01,Brantford,0.28
2016-01-01,Guelph,0.14
2016-01-01,London,0.30
2016-01-01,Windsor,0.33
2016-01-01,Barrie,0.22
2016-01-01,Greater Sudbury,0.54
2016-01-01,Thunder Bay,0.25
2016-01-01,Winnipeg,0.27
2016-01-01,Regina,0.45
2016-01-01,Saskatoon,0.39
2016-01-01,Calgary,0.30
2016-01-01,Edmonton,0.40
2016-01-01,Kelowna,0.38
2016-01-01,Abbotsford-Mission,0.35
2016-01-01,Vancouver,0.23
2016-01-01,Victoria,0.29
2016-04-01,Canada,0.35
2016-04-01,Newfoundland,0.46
2016-04-01,Prince Edward Island,0.70
2016-04-01,Nova Scotia,0.72
2016-04-01,New Brunswick,0.78
2016-04-01,Québec,0.43
2016-04-01,Ontario,0.22
2016-04-01,Manitoba,0.35
2016-04-01,Saskatchewan,0.57
2016-04-01,Alberta,0.45
2016-04-01,British Columbia,0.29
2016-04-01,St. John's,0.32
2016-04-01,Charlottetown,0.60
2016-04-01,Halifax,0.54
2016-04-01,Moncton,0.85
2016-04-01,Saint John,0.76
2016-04-01,Saguenay,0.50
2016-04-01,Québec City,0.25
2016-04-01,Sherbrooke,0.50
2016-04-01,Trois-Riviéres,0.64
2016-04-01,Montréal,0.38
2016-04-01,Ottawa-Gatineau,0.31
2016-04-01,Kingston,0.30
2016-04-01,Peterborough,0.24
2016-04-01,Oshawa,0.14
2016-04-01,Toronto,0.14
2016-04-01,Hamilton,0.16
2016-04-01,St. Catharines-Niagara,0.34
2016-04-01,Kitchener-Cambridge-Waterloo,0.17
2016-04-01,Brantford,0.27
2016-04-01,Guelph,0.14
2016-04-01,London,0.26
2016-04-01,Windsor,0.26
2016-04-01,Barrie,0.21
2016-04-01,Greater Sudbury,0.54
2016-04-01,Thunder Bay,0.25
2016-04-01,Winnipeg,0.29
2016-04-01,Regina,0.48
2016-04-01,Saskatoon,0.43
2016-04-01,Calgary,0.32
2016-04-01,Edmonton,0.43
2016-04-01,Kelowna,0.34
2016-04-01,Abbotsford-Mission,0.30
2016-04-01,Vancouver,0.20
2016-04-01,Victoria,0.29
2016-07-01,Canada,0.35
2016-07-01,Newfoundland,0.49
2016-07-01,Prince Edward Island,0.67
2016-07-01,Nova Scotia,0.76
2016-07-01,New Brunswick,0.84
2016-07-01,Québec,0.42
2016-07-01,Ontario,0.20
2016-07-01,Manitoba,0.34
2016-07-01,Saskatchewan,0.61
2016-07-01,Alberta,0.53
2016-07-01,British Columbia,0.26
2016-07-01,St. John's,0.32
2016-07-01,Charlottetown,0.58
2016-07-01,Halifax,0.54
2016-07-01,Moncton,0.84
2016-07-01,Saint John,0.79
2016-07-01,Saguenay,0.49
2016-07-01,Québec City,0.25
2016-07-01,Sherbrooke,0.47
2016-07-01,Trois-Riviéres,0.67
2016-07-01,Montréal,0.37
2016-07-01,Ottawa-Gatineau,0.30
2016-07-01,Kingston,0.28
2016-07-01,Peterborough,0.23
2016-07-01,Oshawa,0.13
2016-07-01,Toronto,0.13
2016-07-01,Hamilton,0.15
2016-07-01,St. Catharines-Niagara,0.29
2016-07-01,Kitchener-Cambridge-Waterloo,0.13
2016-07-01,Brantford,0.24
2016-07-01,Guelph,0.10
2016-07-01,London,0.25
2016-07-01,Windsor,0.24
2016-07-01,Barrie,0.19
2016-07-01,Greater Sudbury,0.48
2016-07-01,Thunder Bay,0.27
2016-07-01,Winnipeg,0.29
2016-07-01,Regina,0.46
2016-07-01,Saskatoon,0.48
2016-07-01,Calgary,0.34
2016-07-01,Edmonton,0.50
2016-07-01,Kelowna,0.35
2016-07-01,Abbotsford-Mission,0.27
2016-07-01,Vancouver,0.17
2016-07-01,Victoria,0.24
2016-10-01,Canada,0.34
2016-10-01,Newfoundland,0.46
2016-10-01,Prince Edward Island,0.60
2016-10-01,Nova Scotia,0.75
2016-10-01,New Brunswick,0.79
2016-10-01,Québec,0.40
2016-10-01,Ontario,0.19
2016-10-01,Manitoba,0.35
2016-10-01,Saskatchewan,0.62
2016-10-01,Alberta,0.53
2016-10-01,British Columbia,0.25
2016-10-01,St. John's,0.32
2016-10-01,Charlottetown,0.55
2016-10-01,Halifax,0.54
2016-10-01,Moncton,0.71
2016-10-01,Saint John,0.86
2016-10-01,Saguenay,0.50
2016-10-01,Québec City,0.24
2016-10-01,Sherbrooke,0.43
2016-10-01,Trois-Riviéres,0.59
2016-10-01,Montréal,0.34
2016-10-01,Ottawa-Gatineau,0.30
2016-10-01,Kingston,0.28
2016-10-01,Peterborough,0.20
2016-10-01,Oshawa,0.14
2016-10-01,Toronto,0.12
2016-10-01,Hamilton,0.13
